IncLevel1	IncLevel2	IncLevelDifference
0.979,0.981,0.982,0.985	0.992,0.986,0.984,0.975	-0.002
0.054,0.047,0.102,0.045	0.091,0.109,0.106,0.106	-0.041
1.0,0.759,1.0,1.0	1.0,1.0,0.783,0.876	0.025
1.0,1.0,0.933,1.0	0.948,0.873,0.907,0.761	0.111
0.252,0.224,0.265,0.151	0.276,0.217,0.196,0.238	-0.009
NA,1.0,1.0,0.0	1.0,1.0,1.0,0.0	-0.083
0.011,0.013,0.008,0.013	0.0,0.008,0.0,0.023	0.003
0.423,0.427,0.399,0.273	0.42,0.486,0.454,0.357	-0.049
0.114,0.021,0.089,0.032	0.114,0.084,0.043,0.177	-0.04
0.086,0.052,0.093,0.066	0.122,0.091,0.096,0.059	-0.018
0.891,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.027
NA,1.0,1.0,NA	0.642,1.0,1.0,0.264	0.274
0.023,0.05,0.082,0.033	0.054,0.061,0.057,0.055	-0.01
0.036,0.132,0.183,0.037	0.214,0.115,0.166,0.132	-0.06
0.052,0.058,0.095,0.066	0.114,0.079,0.122,0.089	-0.033
0.104,0.157,0.455,1.0	0.218,0.382,0.455,0.23	0.108
1.0,0.0,0.119,0.265	0.083,0.023,0.035,0.0	0.311
1.0,1.0,0.799,0.575	0.772,1.0,0.78,0.844	-0.006
0.043,0.032,0.066,0.034	0.021,0.052,0.056,0.038	0.002
0.08,0.059,0.087,0.108	0.11,0.153,0.092,0.117	-0.034
0.049,0.009,0.067,0.069	0.102,0.085,0.097,0.041	-0.033
0.008,0.006,0.009,0.006	0.014,0.012,0.018,0.018	-0.008
0.943,0.952,0.987,0.991	0.983,0.977,0.98,0.988	-0.014
1.0,1.0,0.99,1.0	1.0,1.0,1.0,1.0	-0.002
0.024,0.022,0.02,0.012	0.022,0.03,0.029,0.026	-0.007
1.0,1.0,0.875,0.859	1.0,1.0,1.0,1.0	-0.067
0.139,0.163,0.186,0.103	0.151,0.159,0.199,0.252	-0.042
0.162,0.128,0.087,0.051	0.098,0.136,0.179,0.153	-0.035
0.0,0.018,0.031,0.021	0.078,0.07,0.127,0.142	-0.087
0.029,0.024,0.041,0.031	0.019,0.043,0.033,0.028	0.001
0.312,0.292,0.533,0.178	0.335,0.356,0.245,0.221	0.039
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.919	0.02
0.253,0.307,0.421,0.279	0.345,0.389,0.339,0.257	-0.017
0.307,0.394,0.513,0.392	0.313,0.291,0.332,0.352	0.08
